index,a_id,string,stem,cluster,new_label,count,keep,new_cluster
895,a896,Bertazzoni oven,bertazzoni oven,13,30,1,1,Oven
12,a13,2 burner cooktop oven,burner cooktop oven,13,30,1,1,Oven
929,a930,Bosch Convection  oven,bosch convect oven,13,30,1,1,Oven
954,a955,Built-in Convection / Microwave combo oven,convect microwav combo oven,13,30,1,1,Oven
955,a956,Built-in Convection Oven / Microwave combo oven,convect oven microwav combo oven,13,30,1,1,Oven
2910,a2911,Vintage Westinghouse full oven oven,full oven oven,13,30,1,1,Oven
893,a894,Bertazzoni  oven,bertazzoni oven,13,30,1,1,Oven
2627,a2628,Standard oven,standard oven,13,30,1,1,Oven
2801,a2802,"Toaster Oven instead of large kitchen over, for space saving oven",toaster oven instead larg kitchen space save oven,13,30,1,1,Oven
2403,a2404,Regular  oven,regular oven,13,30,1,1,Oven
2221,a2222,Oven with griddle cook top and four burners.  oven,oven griddl cook top four oven,13,30,1,1,Oven
2135,a2136,Mercury Aga  oven,aga oven,13,30,1,1,Oven
2077,a2078,Large Toaster Oven (can fit a whole chicken!) oven,larg toaster oven fit whole oven,13,30,1,1,Oven
2567,a2568,Small oven and stove top oven,small oven stove top oven,13,30,1,1,Oven
2015,a2016,Kenmore oven,kenmor oven,13,30,1,1,Oven
1673,a1674,General electric oven,gener electr oven,13,30,1,1,Oven
1607,a1608,Frigidaire oven,frigidair oven,13,30,3,1,Oven
1592,a1593,Fridgidare oven,fridgidar oven,13,30,1,1,Oven
2630,a2631,Standard size  oven,standard size oven,13,30,1,1,Oven
1176,a1177,Electric oven,electr oven,13,30,1,1,Oven
1174,a1175,Electric  oven,electr oven,13,30,1,1,Oven
1091,a1092,"Countertop convection oven large enough for 13"" pizza oven",countertop convect oven larg enough pizza oven,13,30,1,1,Oven
1085,a1086,Convection Oven oven,convect oven oven,13,30,2,1,Oven
1084,a1085,Convection Oven / Microwave combo oven,convect oven microwav combo oven,13,30,1,1,Oven
2802,a2803,Toaster Oven oven,toaster oven oven,13,30,3,1,Oven
3009,a3010,Zline  oven,zline oven,13,30,1,1,Oven
